,id,object_name,chain,object_type,address,number,street,district
3713,23514,осипов а.с. (прод.база «очаково»),нет,столовая,"город Москва, проектируемый проезд № 1980, дом 4",60, проектируемый проезд № 1980,район Очаково-Матвеевское
3754,29173,моск. гор. колледж инф-х технологий,нет,столовая,"город Москва, Костомаровская набережная, дом 29, строение 1",84, Костомаровская набережная,Таганский район
3755,27019,гостиница лефортово,нет,ресторан,"город Москва, 1-й Краснокурсантский проезд, дом 1/4",200, 1-й Краснокурсантский проезд,район Лефортово
3756,27859,столовая при ммгп «мосгаз» буфет,нет,столовая,"город Москва, Мрузовский переулок, дом 11, строение 1",30, Мрузовский переулок,Басманный район
3760,152836,полковнику никто не пишет,нет,кафе,"город Москва, Петроверигский переулок, дом 4, строение 1",44, Петроверигский переулок,Не определен
3763,21365,школа 1227,нет,буфет,"город Москва, Большой Трёхсвятительский переулок, дом 4",55, Большой Трёхсвятительский переулок,Не определен
3765,21373,школа 330,нет,буфет,"город Москва, Большой Казённый переулок, дом 9",55, Большой Казённый переулок,Басманный район
3766,28859,лицей 1303,нет,столовая,"город Москва, Таможенный проезд, дом 4",170, Таможенный проезд,район Лефортово
3768,28861,школа 1229,нет,столовая,"город Москва, Верхний Золоторожский переулок, дом 2",170, Верхний Золоторожский переулок,район Лефортово
3775,28863,школа 416,нет,столовая,"город Москва, Шепелюгинская улица, дом 21/13, строение 1",150, Шепелюгинская улица,район Лефортово
3776,28860,школа 733,нет,столовая,"город Москва, Лонгиновская улица, дом 6",120, Лонгиновская улица,район Лефортово
3784,153726,столовая при фгбоу во мпгу,нет,столовая,"город Москва, Несвижский переулок, дом 3",26, Несвижский переулок,район Хамовники
3841,153404,столовая при гбоу лицей 1555,нет,столовая,"город Москва, Хилков переулок, дом 3А",45, Хилков переулок,район Хамовники
3844,152202,столовая при гбоу лицей 1535,нет,столовая,"город Москва, Малый Саввинский переулок, дом 8",105, Малый Саввинский переулок,район Хамовники
3852,153436,столовая при образовательном комплексе дизайна и технологии,нет,столовая,"город Москва, улица Савельева, дом 5",100, улица Савельева,район Хамовники
3853,153380,столовая при гбоу школа 57,нет,столовая,"город Москва, переулок Хользунова, дом 8",48, переулок Хользунова,район Хамовники
3872,153406,столовая при гимназии 1529 им. а.с. грибоедова,нет,столовая,"город Москва, 2-й Обыденский переулок, дом 9",30, 2-й Обыденский переулок,район Хамовники
3875,150573,буфет на хитровке,нет,кафе,"город Москва, Хитровский переулок, дом 3/1, строение 4",12, Хитровский переулок,Не определен
3891,28416,столовая при управлении судебного департамента,нет,столовая,"город Москва, Андроньевская площадь, дом 5/9",45, Андроньевская площадь,Таганский район
3910,151761,ред брик,нет,бар,"город Москва, Хохловский переулок, дом 10, строение 6",50, Хохловский переулок,Не определен
3954,28810,столовая при шк. 2093 (783),нет,столовая,"город Москва, Союзный проспект, дом 2",240, Союзный проспект,район Новогиреево
3975,28809,столовая при шк. 2072,нет,столовая,"город Москва, Утренняя улица, дом 12",200, Утренняя улица,район Новогиреево
3994,28806,столовая при шк. 2093 (787),нет,столовая,"город Москва, улица Алексея Дикого, дом 18А",150, улица Алексея Дикого,район Новогиреево
4134,29155,школа 2104,нет,столовая,"город Москва, 1-й Котельнический переулок, дом 5, строение 2",35, 1-й Котельнический переулок,Таганский район
4156,21583,школа №1272,нет,столовая,"город Москва, 1-й Кожуховский проезд, дом 17",120, 1-й Кожуховский проезд,Даниловский район
4157,28996,школа 574 кдп,нет,столовая,"город Москва, Высокая улица, дом 6",210, Высокая улица,район Нагатино-Садовники
4171,147916,донер бистро,нет,предприятие быстрого обслуживания,"город Москва, Гончарная набережная, дом 9/16, строение 3",0, Гончарная набережная,Таганский район
4176,150827,гбоу школа №498,нет,столовая,"город Москва, улица Малые Каменщики, дом 18",0, улица Малые Каменщики,Таганский район
4177,21181,школа 2104,нет,буфет,"город Москва, 5-й Котельнический переулок, дом 8",60, 5-й Котельнический переулок,Таганский район
4185,29309,школа 485,нет,столовая,"город Москва, 3-й Кожуховский проезд, дом 3А",120, 3-й Кожуховский проезд,Южнопортовый район
4197,82524,столовая мгпу,нет,столовая,"город Москва, 2-й Сельскохозяйственный проезд, дом 4, строение 1",150, 2-й Сельскохозяйственный проезд,район Ростокино
4199,28270,цсо,нет,столовая,"город Москва, Магаданская улица, дом 9",40, Магаданская улица,Лосиноостровский район
4208,28706,столовая (гбоу «школа №1558имени росалии де кастро»),нет,столовая,"город Москва, Печорская улица, дом 18",300, Печорская улица,Бабушкинский район
4209,27468,столовая-доготовочная при школе 1099,нет,столовая,"город Москва, улица Ротерта, дом 5",300, улица Ротерта,Ярославский район
4214,27438,школа 529,нет,столовая,"город Москва, 2-я Напрудная улица, дом 17",240, 2-я Напрудная улица,Лосиноостровский район
4217,28705,столовая (гбоу «школа № 281»),нет,столовая,"город Москва, Радужная улица, дом 7",240, Радужная улица,Бабушкинский район
4219,28701,столовая (гбоу «школа №1095»),нет,столовая,"город Москва, Олонецкий проезд, дом 6",240, Олонецкий проезд,Бабушкинский район
4220,28697,столовая (гбоу «школа №281»),нет,буфет,"город Москва, улица Рудневой, дом 10",60, улица Рудневой,Бабушкинский район
4222,27461,столовая-доготовочная при школе 1374,нет,столовая,"город Москва, Федоскинская улица, дом 4",240, Федоскинская улица,Ярославский район
4226,27437,школа 762,нет,столовая,"город Москва, Норильская улица, дом 4",300, Норильская улица,Лосиноостровский район
4239,23022,светлана,нет,кафе,"город Москва, Таёжная улица, дом 1",45, Таёжная улица,Лосиноостровский район
4246,27441,школа 1188,нет,столовая,"город Москва, 1-я Напрудная улица, дом 13",300, 1-я Напрудная улица,Лосиноостровский район
4278,28691,столовая при московском коледже железнодорожного транспорта,нет,столовая,"город Москва, Кучин переулок, дом 14, строение 1",134, Кучин переулок,Алексеевский район
4320,29521,столовая «потенциал»,нет,столовая,"город Москва, Кулаков переулок, дом 7",150, Кулаков переулок,Алексеевский район
4324,138024,столовая при школе № 2107,нет,буфет,"город Москва, Напрудный переулок, дом 13",30, Напрудный переулок,Мещанский район
4326,21069,буфет при ржевской бане,нет,буфет,"город Москва, Банный проезд, дом 3, строение 1",4, Банный проезд,Мещанский район
4338,138027,столовая при школе № 2107,нет,буфет,"город Москва, переулок Васнецова, дом 2",43, переулок Васнецова,Мещанский район
4346,21388,буфет-раздаточный при школе № 242,нет,буфет,"город Москва, 1-й проезд Марьиной Рощи, дом 3А",50, 1-й проезд Марьиной Рощи,район Марьина Роща
4347,28629,столовая при школе № 1297,нет,буфет,"город Москва, Малая Переяславская улица, дом 6/8",83, Малая Переяславская улица,Мещанский район
4354,27416,столовая при гбоу школа № 1539,нет,столовая,"город Москва, Староалексеевская улица, дом 1",200, Староалексеевская улица,Алексеевский район
4356,138014,столовая при школе № 2107,нет,буфет,"город Москва, Больничный переулок, дом 4",34, Больничный переулок,Мещанский район
4357,28628,столовая при школе №1297,нет,столовая,"город Москва, Глинистый переулок, дом 7, строение 1",140, Глинистый переулок,Мещанский район
4367,19744,столовая,нет,столовая,"город Москва, 3-я Черепковская улица, дом 15А, строение 5",244, 3-я Черепковская улица,район Кунцево
4406,23760,столовая гбоу города москвы № 587,нет,столовая,"город Москва, улица Красных Зорь, дом 61",110, улица Красных Зорь,Можайский район
4408,23738,столовая гбпоу зкно,нет,столовая,"город Москва, улица Ращупкина, дом 3",180, улица Ращупкина,Можайский район
4409,23750,столовая гбоу города москвы № 1400,нет,столовая,"город Москва, улица Кубинка, дом 20, корпус 1",200, улица Кубинка,Можайский район
4410,23728,столовая гбоу города москвы № 1400,нет,столовая,"город Москва, улица Кутузова, дом 20",120, улица Кутузова,Можайский район
4411,23638,столовая гбпоу зкно,нет,буфет,"город Москва, Гродненская улица, дом 5",150, Гродненская улица,Можайский район
4426,23749,столовая гбоу города москвы № 391,нет,буфет,"город Москва, Гжатская улица, дом 6",90, Гжатская улица,Можайский район
4429,23740,столовая гбоу города москвы № 1195,нет,буфет,"город Москва, Вяземская улица, дом 7",100, Вяземская улица,Можайский район
4435,23611,буфет - гбоу сош №6,нет,буфет,"город Москва, улица Екатерины Будановой, дом 18",60, улица Екатерины Будановой,район Кунцево
4459,20755,останкино,нет,закусочная,"город Москва, Троилинский переулок, дом 3",25, Троилинский переулок,район Арбат
4474,128035,бабель,нет,ресторан,"город Москва, 1-й Николощеповский переулок, дом 6, строение 2",140, 1-й Николощеповский переулок,район Арбат
4475,78275,ля марэ,нет,ресторан,"город Москва, Проточный переулок, дом 7",150, Проточный переулок,район Арбат
4541,23625,буфет-раздаточная № 731,нет,буфет,"город Москва, Новорублёвская улица, дом 1",80, Новорублёвская улица,Не определен
4574,29285,школа 913,нет,буфет,"город Москва, улица Степана Шутова, дом 8, корпус 3",120, улица Степана Шутова,район Люблино
4576,28931,школа № 439 ителлект,нет,столовая,"город Москва, Орехово-Зуевский проезд, дом 4",40, Орехово-Зуевский проезд,Нижегородский район
4579,28085,столовая гну виэсх,нет,столовая,"город Москва, 1-й Вешняковский проезд, дом 2, строение 1",20, 1-й Вешняковский проезд,Рязанский район
4584,27020,palacio,нет,ресторан,"город Москва, улица Паперника, дом 9",30, улица Паперника,Рязанский район
4588,28075,столовая спец.база атп-3 мосводоканал,нет,столовая,"город Москва, шоссе Фрезер, дом 32, строение 1",10, шоссе Фрезер,Нижегородский район
4596,28888,столовая уоо цсбофнпр,нет,буфет,"город Москва, Тихая улица, дом 30",120, Тихая улица,район Люблино
4633,28884,школа 335,нет,буфет,"город Москва, Спортивный проезд, дом 3А",190, Спортивный проезд,район Люблино
4650,28877,школа 338,нет,буфет,"город Москва, Мариупольская улица, дом 3",250, Мариупольская улица,район Люблино
4652,27525,гп шбс «люблино» шк. 654ст,нет,столовая,"город Москва, улица Артюхиной, дом 17",220, улица Артюхиной,район Текстильщики
4656,28920,столовая при гоу сош № 495,нет,столовая,"город Москва, Подольская улица, дом 15",160, Подольская улица,район Марьино
4660,28935,филиал шбс люблино шк. 493,нет,столовая,"город Москва, 1-й Курьяновский проезд, дом 14",224, 1-й Курьяновский проезд,район Печатники
4676,27529,коникс-школьник школа 1403,нет,столовая,"город Москва, 1-й Саратовский проезд, дом 5",89, 1-й Саратовский проезд,район Текстильщики
4700,26758,стумари,нет,кафе,"город Москва, Тессинский переулок, дом 4, строение 2",55, Тессинский переулок,Таганский район
4715,29172,пу 33,нет,столовая,"город Москва, Тетеринский переулок, дом 2А",100, Тетеринский переулок,Таганский район
4718,21177,школа 1468,нет,буфет,"город Москва, Библиотечная улица, дом 29",33, Библиотечная улица,Таганский район
4721,20999,моск. гос. авиац.-технологич. университет,нет,буфет,"город Москва, Берниковская набережная, дом 12, строение 1",32, Берниковская набережная,Таганский район
4725,28205,центральный дом адвоката,нет,столовая,"город Москва, Малый Полуярославский переулок, дом 3/5, строение 1",62, Малый Полуярославский переулок,Таганский район
4729,150839,лицей №1581,нет,столовая,"город Москва, Большой Полуярославский переулок, дом 7",55, Большой Полуярославский переулок,Таганский район
4736,150823,гбоу школа №480 им.в.в. талалихина,нет,столовая,"город Москва, Стройковская улица, дом 5",0, Стройковская улица,Таганский район
4802,21338,8-ой троллейбусный парк,нет,буфет,"город Москва, улица Инессы Арманд, дом 13",31, улица Инессы Арманд,район Ясенево
4805,29450,гоу сош № 1174,нет,столовая,"город Москва, Феодосийская улица, дом 11А",157, Феодосийская улица,район Северное Бутово
4817,97083,пекарня,нет,магазин (отдел кулинарии),"город Москва, 1-й Кирпичный переулок, дом 4, строение 2",10, 1-й Кирпичный переулок,район Соколиная Гора
4832,21936,кафе гермес,нет,кафе,"город Москва, Учинская улица, дом 10",85, Учинская улица,Дмитровский район
4839,28255,марма,нет,столовая,"город Москва, Нарвская улица, дом 2",45, Нарвская улица,район Коптево
4860,28699,столовая (гбоу «школа №1558 имени росалии де кастро»),нет,столовая,"город Москва, Чукотский проезд, дом 6",260, Чукотский проезд,Бабушкинский район
4882,27787,столовая,нет,ресторан,"город Москва, Кремлёвская набережная, дом 1, строение 2",56, Кремлёвская набережная,район Хамовники
4891,27812,столовая при мз электропривод,нет,столовая,"город Москва, улица Уткина, дом 48",20, улица Уткина,район Соколиная Гора
4894,19965,райский уголок,нет,кафе,"город Москва, Боровский проезд, дом 17А",96, Боровский проезд,район Солнцево
4895,19746,вэрон,нет,столовая,"город Москва, улица Академика Павлова, дом 25",80, улица Академика Павлова,район Кунцево
4896,27926,столовая,нет,столовая,"город Москва, проезд Черепановых, дом 6, строение 1",50, проезд Черепановых,район Коптево
4924,22345,bodrum,нет,кафе,"город Москва, улица Новая Дорога, дом 11, строение 6",60, улица Новая Дорога,Басманный район
4940,21728,кофе он,нет,кафе,"город Москва, 3-й Кадашёвский переулок, дом 2",72, 3-й Кадашёвский переулок,район Якиманка
4947,27989,столовая,нет,столовая,"город Москва, Чермянская улица, дом 2, строение 2",200, Чермянская улица,район Северное Медведково
5102,27944,столовая центра «зубаревский»,нет,столовая,"город Москва, Зубарев переулок, дом 15, корпус 1",47, Зубарев переулок,Алексеевский район
5109,20283,world class кафе,нет,бар,"город Москва, 12-й проезд Марьиной Рощи, владение 9, строение 2",9, 12-й проезд Марьиной Рощи,район Марьина Роща
5118,152993,хаят,нет,кафе,"город Москва, Выползов переулок, дом 7, строение 2",68, Выползов переулок,Мещанский район
5122,27957,рус сервис,нет,столовая,"город Москва, Анненский проезд, дом 1, строение 1",40, Анненский проезд,район Марьина Роща
5130,27821,столовая,нет,столовая,"город Москва, Анненская улица, дом 25, строение 1",32, Анненская улица,район Марьина Роща
5160,26188,антик,нет,ресторан,"город Москва, Чермянский проезд, дом 5, строение 26",70, Чермянский проезд,район Северное Медведково
5167,28740,столовая-доготовочная при школе № 1956,нет,столовая,"город Москва, Старомарьинское шоссе, дом 5",250, Старомарьинское шоссе,район Марьина Роща
5177,28282,столовая завода стройпрогресс,нет,столовая,"город Москва, Калибровская улица, дом 31, строение 1",45, Калибровская улица,Останкинский район
5178,28468,столовая вниси,нет,столовая,"город Москва, 1-й Рижский переулок, дом 6, строение 1",112, 1-й Рижский переулок,Алексеевский район
5222,28285,кафе,нет,кафе,"город Москва, Хованская улица, владение 20",40, Хованская улица,Останкинский район
5276,23071,кафе пармежано,нет,кафе,"город Москва, Отрадный проезд, дом 2Б",60, Отрадный проезд,район Отрадное
5280,27462,столовая-доготовочная при школе 1137,нет,столовая,"город Москва, Лосевская улица, дом 9",250, Лосевская улица,Ярославский район
5289,144426,гбоу школа № 1499,нет,столовая,"город Москва, Ростокинская улица, дом 3",330, Ростокинская улица,район Ростокино
5291,27977,столовая,нет,столовая,"город Москва, 1-й Сельскохозяйственный проезд, дом 2",46, 1-й Сельскохозяйственный проезд,район Ростокино
5299,25564,кафе-бар курага,нет,кафе,"город Москва, Юрловский проезд, дом 17, строение 1",229, Юрловский проезд,район Отрадное
5301,21527,буфет при гуп «объединенный комбинат школьно питания»,нет,столовая,"город Москва, 1-й Ботанический проезд, дом 2",40, 1-й Ботанический проезд,район Свиблово
5373,125151,ук стратегия управления,нет,кафе,"город Москва, 17-й проезд Марьиной Рощи, дом 4",94, 17-й проезд Марьиной Рощи,район Марьина Роща
5445,28292,столовая,нет,столовая,"город Москва, Уржумская улица, дом 4, строение 14",124, Уржумская улица,район Свиблово
5446,68374,юлдес-тур,нет,столовая,"город Москва, 2-я Ямская улица, дом 4",32, 2-я Ямская улица,район Марьина Роща
5452,81534,кафе рача,нет,кафе,"город Москва, улица Константинова, дом 11А",40, улица Константинова,Алексеевский район
5468,140894,океан,нет,кафе,"город Москва, Черницынский проезд, дом 3, строение 11",64, Черницынский проезд,район Гольяново
5491,27581,при школе 1452,нет,столовая,"город Москва, 1-я Гражданская улица, дом 96",160, 1-я Гражданская улица,район Богородское
5522,27998,столовая,нет,столовая,"город Москва, 2-й Иртышский проезд, дом 6, строение 1",64, 2-й Иртышский проезд,район Гольяново
5533,22222,столовая,нет,кафе,"город Москва, 1-я Пугачёвская улица, дом 25, строение 1",32, 1-я Пугачёвская улица,район Преображенское
5540,150766,шумкина 26,нет,кафе,"город Москва, улица Шумкина, дом 26А, строение 4",45, улица Шумкина,район Сокольники
5544,143095,кайф кормить,нет,столовая,"город Москва, улица Богородский Вал, дом 3, строение 28",30, улица Богородский Вал,район Богородское
5551,149685,ереван,нет,ресторан,"город Москва, Оренбургская улица, дом 32, строение 5",45, Оренбургская улица,район Косино-Ухтомский
5563,28795,столовая «ооо вито-1»,нет,столовая,"город Москва, улица Медведева, дом 6",120, улица Медведева,район Косино-Ухтомский
5583,28579,столовая шк.364,нет,столовая,"город Москва, Старослободская улица, дом 8",200, Старослободская улица,район Сокольники
5592,21361,буфет-раздаточная,нет,буфет,"город Москва, Гаражная улица, дом 4",28, Гаражная улица,район Соколиная Гора
5612,20721,кафе -бар,нет,буфет,"город Москва, улица 9 Мая, дом 8",6, улица 9 Мая,Не определен
5667,27715,столовая,нет,столовая,"город Москва, Барабанный переулок, дом 3",60, Барабанный переулок,район Соколиная Гора
5708,71547,березки,нет,кафе,"город Москва, Курганская улица, дом 4А",90, Курганская улица,район Гольяново
5712,23272,кафе «черный кот»,нет,кафе,"город Москва, Нижний Журавлёв переулок, дом 3",20, Нижний Журавлёв переулок,район Соколиная Гора
5716,144462,кафе при азс газпромнефть №134,нет,буфет,"город Москва, Русаковская набережная, дом 7",18, Русаковская набережная,район Сокольники
5725,27523,ноу «мини-школа»,нет,буфет,"город Москва, Кузьминская улица, дом 10, строение 2",50, Кузьминская улица,район Кузьминки
5731,28332,столовая при оао док-3,нет,столовая,"город Москва, 1-я Карачаровская улица, дом 8, строение 1",31, 1-я Карачаровская улица,Нижегородский район
5734,29265,столовая гоу 1083,нет,столовая,"город Москва, Хвалынский бульвар, дом 4, корпус 4",200, Хвалынский бульвар,район Выхино-Жулебино
5772,28344,пролетарец,нет,столовая,"город Москва, Новоостаповская улица, дом 12, строение 2",48, Новоостаповская улица,Южнопортовый район
5826,28490,столовая фгпу усст 2,нет,столовая,"город Москва, 2-й Курьяновский проезд, дом 2",32, 2-й Курьяновский проезд,район Печатники
5828,23421,харт-трейдинг лтд,нет,буфет,"город Москва, Егорьевский проезд, дом 2, строение 5",30, Егорьевский проезд,район Люблино
5842,28040,ниипм,нет,столовая,"город Москва, Перовский проезд, дом 35, строение 8",140, Перовский проезд,район Лефортово
5848,28077,столовая,нет,столовая,"город Москва, Автомобильный проезд, дом 6, строение 2",48, Автомобильный проезд,Нижегородский район
5853,23460,кафе-бистро,нет,кафе,"город Москва, Басовская улица, дом 16, строение 1",24, Басовская улица,Нижегородский район
5857,28033,мниипа,нет,столовая,"город Москва, Красноказарменный проезд, дом 14А, корпус 19",180, Красноказарменный проезд,район Лефортово
5901,29571,всеросийская государственная налоговая академия,нет,столовая,"город Москва, 4-й Вешняковский проезд, дом 4, строение 1",80, 4-й Вешняковский проезд,Рязанский район
5902,140772,зарайский дворик,нет,кафе,"город Москва, Зарайская улица, дом 33, корпус 2",44, Зарайская улица,Рязанский район
5907,28049,бризоль-м,нет,столовая,"город Москва, 4-я Кабельная улица, дом 2А, строение 1",180, 4-я Кабельная улица,район Лефортово
5908,28327,саят нова,нет,ресторан,"город Москва, улица Капотня, дом 34",220, улица Капотня,район Капотня
5910,28867,школа 775,нет,буфет,"город Москва, Армавирская улица, дом 4",210, Армавирская улица,район Люблино
5935,26571,а ля фуршет,нет,ресторан,"город Москва, Сормовский проезд, дом 11, строение 8",60, Сормовский проезд,район Выхино-Жулебино
5943,29281,гбоу «многофункциональный образовательный комплекс «кузьминки»,нет,столовая,"город Москва, Есенинский бульвар, дом 14, корпус 2",130, Есенинский бульвар,район Кузьминки
5952,23376,караван прожект,нет,ресторан,"город Москва, 2-й Кабельный проезд, дом 1",91, 2-й Кабельный проезд,район Лефортово
5964,29301,школа 509,нет,столовая,"город Москва, 6-я Кожуховская улица, дом 8",215, 6-я Кожуховская улица,Южнопортовый район
5966,67817,кафе-бар «жулебино»,нет,кафе,"город Москва, Тарханская улица, дом 2",50, Тарханская улица,район Выхино-Жулебино
5989,29407,школа 469,нет,столовая,"город Москва, улица Крутицкий Вал, дом 5",240, улица Крутицкий Вал,Южнопортовый район
6030,29365,школа № 1279,нет,столовая,"город Москва, Сивашская улица, дом 2, корпус 1",70, Сивашская улица,Не определен
6168,24627,кантина кафе офис клуб,нет,кафе,"город Москва, Научный проезд, дом 19",200, Научный проезд,район Черёмушки
6212,29088,школьно-базовая столовая,нет,столовая,"город Москва, 3-я Железногорская улица, дом 11А",100, 3-я Железногорская улица,район Южное Бутово
6239,98910,subway,да,предприятие быстрого обслуживания,"город Москва, Новобутовский проезд, владение 9, строение 1",12, Новобутовский проезд,район Южное Бутово
6240,29092,школьно-базовая столовая,нет,столовая,"город Москва, улица Академика Понтрягина, дом 17, корпус 1",110, улица Академика Понтрягина,район Южное Бутово
6246,29100,школьно-базовая столовая,нет,столовая,"город Москва, улица Брусилова, дом 29, корпус 1",260, улица Брусилова,район Южное Бутово
6276,23962,соль и мясо,нет,кафе,"город Москва, Синельниковская улица, дом 47",50, Синельниковская улица,район Южное Бутово
6279,29382,ст.шк.20 «школьник-юз»,нет,столовая,"город Москва, улица Академика Арцимовича, дом 7",240, улица Академика Арцимовича,район Коньково
6290,28528,столовая при ну акушерства и гинекологии,нет,столовая,"город Москва, улица Академика Опарина, дом 4",80, улица Академика Опарина,Не определен
6394,23420,столовая,нет,столовая,"город Москва, Большая Внуковская улица, дом 2А, строение 9",46, Большая Внуковская улица,Не определен
6599,69531,ансар,нет,кафе,"город Москва, улица Клочкова, дом 10",25, улица Клочкова,район Фили-Давыдково
6736,23721,столовая гбпоу «мгтк имени л.а.филатова»,нет,столовая,"город Москва, Волоцкой переулок, дом 15, корпус 2",250, Волоцкой переулок,район Митино
6750,23339,столовая гбоу сош № 1544,нет,столовая,"город Москва, Пенягинская улица, дом 14",240, Пенягинская улица,район Митино
6779,27838,столовая при институте,нет,столовая,"город Москва, улица Рогова, дом 5А",63, улица Рогова,район Щукино
