,id,object_name,chain,object_type,address,number,street,district
6786,22266,кафе,нет,кафе,"город Москва, улица Саляма Адиля, дом 9, корпус 3",15, улица Саляма Адиля,район Хорошёво-Мнёвники
6788,28178,столовая,нет,столовая,"город Москва, улица Шеногина, дом 2",60, улица Шеногина,район Хорошёво-Мнёвники
6792,23706,столовая гбоу школа № 1985,нет,столовая,"город Москва, Ландышевая улица, дом 8",192, Ландышевая улица,район Куркино
6794,23718,столовая гбоу сош № 1564,нет,столовая,"город Москва, улица Рословка, дом 8",240, улица Рословка,район Митино
6829,144812,кафе на азс,нет,закусочная,"город Москва, улица Зенитчиков, дом 7",2, улица Зенитчиков,район Митино
6865,76469,кафе «таба та»,нет,кафе,"город Москва, Сосновая аллея, дом 1, строение 1",15, Сосновая аллея,район Покровское-Стрешнево
6870,22255,зодиак,да,бар,"город Москва, Неманский проезд, дом 1",48, Неманский проезд,район Строгино
7010,82615,столовая школы № 1847,нет,столовая,"город Москва, Малый Коптевский проезд, дом 3",35, Малый Коптевский проезд,район Аэропорт
7048,21416,столовая школы №152,нет,столовая,"город Москва, 1-я Аэропортовская улица, дом 1, строение 3",120, 1-я Аэропортовская улица,район Аэропорт
7074,25473,зао смк северная звезда,нет,кафе,"город Москва, Песчаная улица, дом 2А, строение 4",36, Песчаная улица,район Сокол
7097,157798,мастер гурмэ,нет,кафе,"город Москва, Театральная аллея, дом 3, строение 1",70, Театральная аллея,район Аэропорт
7126,146421,рамн,нет,кафе,"город Москва, Балтийская улица, дом 10, корпус 2",26, Балтийская улица,район Аэропорт
7182,58526,бригантина,нет,кафе,"город Москва, Коптевский бульвар, дом 18А, строение 1",40, Коптевский бульвар,район Коптево
7235,28493,ф-ка госзнак,нет,столовая,"город Москва, улица Павла Андреева, дом 27, строение 2",80, улица Павла Андреева,Даниловский район
7271,28965,загорье шк. 902,нет,столовая,"город Москва, Педагогическая улица, дом 3",240, Педагогическая улица,район Бирюлёво Восточное
7289,125092,столовая,нет,столовая,"город Москва, 2-й Рощинский проезд, дом 8",8, 2-й Рощинский проезд,Донской район
7324,145553,столовая,нет,столовая,"город Москва, Городская улица, дом 8",80, Городская улица,Даниловский район
7354,28584,столовая «школа 982 кдп»,нет,столовая,"город Москва, улица Кошкина, дом 13, корпус 2",300, улица Кошкина,район Москворечье-Сабурово
7379,21013,соц-психологическ. институт «коп зил»,нет,буфет,"город Москва, 4-й Рощинский проезд, дом 11",16, 4-й Рощинский проезд,Даниловский район
7743,29594,школа 567 кшп «загорье»,нет,столовая,"город Москва, Черноморский бульвар, дом 8",240, Черноморский бульвар,Не определен
7746,127731,столовая,нет,столовая,"город Москва, 3-й Павловский переулок, дом 2",100, 3-й Павловский переулок,Даниловский район
7778,29834,пу 53,нет,столовая,"город Москва, улица Лефортовский Вал, дом 26",120, улица Лефортовский Вал,район Лефортово
7782,23416,геронтологический центр переделкино,нет,столовая,"город Москва, 7-я улица Лазенки, дом 12, строение 2",200, 7-я улица Лазенки,район Ново-Переделкино
7783,23762,столовая,нет,столовая,"город Москва, Интернациональная улица, дом 10",200, Интернациональная улица,район Внуково
7784,23419,ксц «переделкино»,нет,столовая,"город Москва, 6-я улица Лазенки, дом 2, строение 2",232, 6-я улица Лазенки,район Ново-Переделкино
7794,20122,сабрина,нет,кафе,"город Москва, Аэрофлотская улица, владение 2Б",24, Аэрофлотская улица,Не определен
7834,24996,кафе-кальянная «мамуния»,нет,кафе,"город Москва, Лыщиков переулок, дом 5, строение 1",55, Лыщиков переулок,Таганский район
7869,25945,ноев ковчег,нет,ресторан,"город Москва, Малый Ивановский переулок, дом 4, строение 1",100, Малый Ивановский переулок,Не определен
7872,158158,кафе гор,нет,кафе,"город Москва, Сибирский проезд, дом 2, корпус 27, строение 1",40, Сибирский проезд,Таганский район
7928,121039,пельменьи,нет,кафе,"город Москва, улица Фадеева, дом 5, строение 1",30, улица Фадеева,Тверской район
7935,29159,столовая шк 498,нет,столовая,"город Москва, 2-я Дубровская улица, дом 3",80, 2-я Дубровская улица,Таганский район
7939,146400,шелби,нет,кафе,"город Москва, 1-й Голутвинский переулок, дом 6",22, 1-й Голутвинский переулок,район Якиманка
7943,22574,теремок,да,предприятие быстрого обслуживания,"город Москва, Гжельский переулок, дом 19, строение 2",39, Гжельский переулок,Таганский район
7945,24969,секретное место,нет,кафе,"город Москва, Калошин переулок, дом 4, строение 1",39, Калошин переулок,район Арбат
7952,152169,гбоу многопрофильный лицей №1501,нет,столовая,"город Москва, Тихвинский переулок, дом 3",140, Тихвинский переулок,Тверской район
8016,26060,артс палас,нет,ресторан,"город Москва, Успенский переулок, дом 3, строение 4",98, Успенский переулок,Тверской район
8025,28195,бизнес центр таганский,нет,кафе,"город Москва, улица Высоцкого, дом 4",80, улица Высоцкого,Таганский район
8041,29140,школа №136,нет,столовая,"город Москва, переулок Красина, дом 16, строение 10",120, переулок Красина,Пресненский район
8085,27181,кантинетта антинори,нет,ресторан,"город Москва, Денежный переулок, дом 20",80, Денежный переулок,район Хамовники
8120,152188,гбоу лицей 1574,нет,столовая,"город Москва, 1-я Миусская улица, дом 4",120, 1-я Миусская улица,Тверской район
8134,29154,столовая шк 480,нет,столовая,"город Москва, Средняя Калитниковская улица, дом 22, строение 3",88, Средняя Калитниковская улица,Таганский район
8143,152084,15 kitchen+bar,нет,ресторан,"город Москва, Пожарский переулок, дом 15",30, Пожарский переулок,район Хамовники
8147,22406,дорогая я перезвоню,да,бар,"город Москва, Большой Строченовский переулок, дом 7",90, Большой Строченовский переулок,район Замоскворечье
8168,27344,школа 1247,нет,столовая,"город Москва, Госпитальный переулок, дом 3",35, Госпитальный переулок,Басманный район
8199,141251,крейзи дейзи,нет,бар,"город Москва, Тургеневская площадь, дом 2",45, Тургеневская площадь,Красносельский район
8229,27631,школа 1621,нет,столовая,"город Москва, Малый Казённый переулок, дом 3",100, Малый Казённый переулок,Басманный район
8239,24324,академия,да,кафе,"город Москва, Бутиковский переулок, дом 7",35, Бутиковский переулок,район Хамовники
8316,143431,ribambelle,нет,ресторан,"город Москва, Ботанический переулок, дом 5",80, Ботанический переулок,Мещанский район
8342,152201,столовая при гбоу школа 1231,нет,столовая,"город Москва, 7-й Ростовский переулок, дом 16",40, 7-й Ростовский переулок,район Хамовники
8343,153387,столовая при гбоу школа 1253,нет,столовая,"город Москва, Пуговишников переулок, дом 7",70, Пуговишников переулок,район Хамовники
8360,29149,школа №83,нет,столовая,"город Москва, Стрельбищенский переулок, дом 14",100, Стрельбищенский переулок,Пресненский район
8376,27788,лса,нет,столовая,"город Москва, Большой Знаменский переулок, дом 2, строение 26",24, Большой Знаменский переулок,район Хамовники
8402,29158,столовая шк 1468,нет,столовая,"город Москва, Брошевский переулок, дом 21",75, Брошевский переулок,Таганский район
8445,25017,венская кофейня-кофе шоп,нет,кафе,"город Москва, Известковый переулок, дом 1",65, Известковый переулок,Таганский район
8449,21410,буфет школы 1305,нет,буфет,"город Москва, 2-й Красносельский переулок, дом 18",130, 2-й Красносельский переулок,Красносельский район
8777,150900,школа,нет,столовая,"город Москва, Новопресненский переулок, дом 6",30, Новопресненский переулок,Пресненский район
8789,158540,кафетерий на заправке,нет,кафетерий,"город Москва, улица Сайкина, дом 2",6, улица Сайкина,Даниловский район
8800,158330,crystal,нет,ресторан,"город Москва, Шубинский переулок, дом 2/3",49, Шубинский переулок,район Арбат
8893,148031,бургер кинг,да,предприятие быстрого обслуживания,"город Московский, улица Хабарова, дом 2",0, улица Хабарова,Не определен
8942,159001,чуковский,нет,кафе,"город Москва, 6-я улица Новые Сады, дом 2",32, 6-я улица Новые Сады,район Ново-Переделкино
8957,150886,школа,нет,столовая,"город Москва, Причальный проезд, дом 7, строение 1",60, Причальный проезд,Пресненский район
9010,161067,перелетный кабак,нет,кафе,"город Москва, Мансуровский переулок, дом 10, строение 2",40, Мансуровский переулок,район Хамовники
9014,161609,кафе «волконский»,нет,кафе,"город Москва, переулок Маяковского, дом 3",2, переулок Маяковского,Таганский район
9053,160305,арт кафе «new place moscow»,нет,кафе,"город Москва, площадь Журавлёва, дом 2, строение 2",120, площадь Журавлёва,район Соколиная Гора
9086,160171,charlie moscow,нет,бар,"город Москва, Садовая-Сухаревская улица, дом 6, строение 1",100, Садовая-Сухаревская улица,Мещанский район
9133,161334,хач хач хачапури ловкач,нет,предприятие быстрого обслуживания,"город Москва, 1-я Чоботовская аллея, дом 6-Б",5, 1-я Чоботовская аллея,район Ново-Переделкино
9215,162646,кафе «мастер ланч»,нет,кафетерий,"город Троицк, 42-й километр Калужского шоссе, дом 8",23, 42-й километр Калужского шоссе,Не определен
9243,162723,kfc,да,предприятие быстрого обслуживания,"город Москва, Каскадная улица, домовладение 21, строение 1",20, Каскадная улица,район Косино-Ухтомский
9294,166935,столешников,нет,кафе,"город Москва, Дмитровский переулок, дом 3, строение 4",46, Дмитровский переулок,Тверской район
9335,167318,буфет,нет,буфет,"город Москва, Прохладная улица, дом 28",0, Прохладная улица,район Бирюлёво Восточное
9366,167179,закусочная «донеретто»,нет,закусочная,"город Москва, Михневский проезд, дом 4, корпус 1",0, Михневский проезд,район Бирюлёво Восточное
9410,167786,tasty joys,нет,кафе,"город Москва, Пестовский переулок, дом 3, строение 1",22, Пестовский переулок,Таганский район
9428,168147,ларам,нет,ресторан,"город Москва, улица Дубки, дом 6",35, улица Дубки,Не определен
9440,168345,five,нет,кафе,"город Москва, Якиманский переулок, дом 6, строение 1",46, Якиманский переулок,район Якиманка
9674,168768,кафе r.f.lounge,нет,кафе,"город Москва, Красногвардейский бульвар, дом 3, строение 1",36, Красногвардейский бульвар,Пресненский район
9686,168979,скалка,нет,предприятие быстрого обслуживания,"город Москва, Большой Николопесковский переулок, дом 5",16, Большой Николопесковский переулок,район Арбат
9748,169745,буфет,нет,буфет,"город Москва, Пяловская улица, дом 7, строение 3",12, Пяловская улица,район Западное Дегунино
9790,169978,миа пицца,нет,кафе,"город Москва, улица Полины Осипенко, дом 10, корпус 1",10, улица Полины Осипенко,Хорошёвский район
9815,170232,little garden kitchen&bar,нет,ресторан,"город Москва, Большой Кисельный переулок, дом 17/15, строение 1",70, Большой Кисельный переулок,Мещанский район
9843,170371,ип«осипова е.е»,нет,предприятие быстрого обслуживания,"город Москва, Зюзинская улица, дом 3",0, Зюзинская улица,район Черёмушки
9915,170767,"ели, пили",нет,столовая,"город Москва, Малый Толмачёвский переулок, дом 8/11, строение 3",40, Малый Толмачёвский переулок,район Якиманка
9927,170938,бдд паб,нет,бар,"город Москва, улица Знаменские Садки, дом 1А",50, улица Знаменские Садки,район Северное Бутово
9992,171471,телебистро,нет,кафе,"город Москва, Никитский переулок, дом 7, строение 2",32, Никитский переулок,Тверской район
10009,171644,буфет театра «et cetera»,нет,буфет,"город Москва, Фролов переулок, дом 2",20, Фролов переулок,Красносельский район
10054,172152,столовая,нет,столовая,"город Москва, 5-й Монетчиковский переулок, дом 7",176, 5-й Монетчиковский переулок,район Замоскворечье
10142,172679,мята,нет,кафе,"город Москва, Ялтинская улица, дом 2",26, Ялтинская улица,Не определен
10226,185632,котлет нет,нет,закусочная,"город Москва, Боровая улица, дом 10, корпус 2",10, Боровая улица,район Лефортово
10241,188085,gournest гнездо гурмана,нет,ресторан,"город Москва, Бродников переулок, дом 10, корпус 2",40, Бродников переулок,район Якиманка
10259,179098,выпечка,нет,магазин (отдел кулинарии),"город Москва, 4-я Гражданская улица, дом 43, корпус 2",0, 4-я Гражданская улица,район Богородское
10290,179285,шаурма,нет,предприятие быстрого обслуживания,"город Москва, Жигулёвская улица, дом 5, корпус 3",0, Жигулёвская улица,район Кузьминки
10306,183836,детское кафе «ежеминутка»,нет,кафе,"город Москва, улица Анатолия Живова, дом 10",40, улица Анатолия Живова,Пресненский район
10321,189611,"выпечка,шаурма",нет,предприятие быстрого обслуживания,"город Москва, улица Академика Комарова, дом 5А",0, улица Академика Комарова,район Марфино
10370,184359,донер кебаб,нет,предприятие быстрого обслуживания,"город Москва, улица Медиков, дом 16",0, улица Медиков,район Царицыно
10389,179443,бар крафт тайм,нет,бар,"город Москва, Молодёжная улица, дом 4",16, Молодёжная улица,Гагаринский район
10425,190027,раиса захарна,нет,кафе,"город Москва, улица Можайский Вал, дом 6",26, улица Можайский Вал,район Дорогомилово
10467,174488,предприятие быстрого обслуживания «шаурма»,нет,предприятие быстрого обслуживания,"город Москва, Сумская улица, дом 2/12",0, Сумская улица,район Чертаново Северное
10481,174448,time club убежище,нет,кафе,"город Москва, Архангельский переулок, дом 7, строение 1",70, Архангельский переулок,Басманный район
10568,184803,пиццбургеr №1,нет,кафе,"город Москва, улица Пржевальского, дом 2",12, улица Пржевальского,Не определен
10570,189486,шантимель,да,кафе,"город Москва, улица Раевского, дом 3",14, улица Раевского,район Дорогомилово
10599,183874,японоитальяна,нет,закусочная,"город Москва, улица Недорубова, дом 5",4, улица Недорубова,район Некрасовка
10634,185464,так сказала моя мама,нет,кафе,"город Москва, Большой Симоновский переулок, дом 2",16, Большой Симоновский переулок,Таганский район
10682,179279,пивзавод77,нет,бар,"город Москва, Спартаковский переулок, дом 2, строение 1",128, Спартаковский переулок,Красносельский район
10706,183355,кальян бар «garage lounge»,нет,кафе,"город Москва, Малый Златоустинский переулок, дом 3, строение 3",10, Малый Златоустинский переулок,Басманный район
10788,175527,столовая,нет,столовая,"город Москва, 2-й Балтийский переулок, дом 3",20, 2-й Балтийский переулок,район Аэропорт
10803,189840,кафе «emivi»,нет,кафе,"город Москва, Малый Конюшковский переулок, дом 2",46, Малый Конюшковский переулок,Пресненский район
10826,28845,столовая школы 688,нет,столовая,"город Москва, 8-я улица Соколиной Горы, дом 5А",96, 8-я улица Соколиной Горы,район Соколиная Гора
10857,177672,white eagles pub,нет,бар,"город Москва, Козицкий переулок, дом 1А, строение 2",90, Козицкий переулок,Тверской район
10869,185403,хорошая столовая,нет,столовая,"город Москва, проезд Добролюбова, дом 3, строение 3",40, проезд Добролюбова,Бутырский район
10978,188968,«гбоу «школа с углубленным изучением английского языка» №1208»,нет,столовая,"город Москва, улица Шумилова, дом 9",160, улица Шумилова,район Кузьминки
11043,176042,столовая,нет,столовая,"город Москва, Газгольдерная улица, дом 6",20, Газгольдерная улица,Нижегородский район
11067,21116,пропиком,нет,буфет,"город Москва, 8-й проезд Марьиной Рощи, дом 30, строение 1",32, 8-й проезд Марьиной Рощи,район Марьина Роща
11111,174933,шаурма,нет,предприятие быстрого обслуживания,"город Москва, проезд Нансена, владение 3Б",0, проезд Нансена,район Свиблово
11123,183018,кафе свежъ,нет,кафе,"город Москва, Нововладыкинский проезд, дом 8, строение 5",96, Нововладыкинский проезд,район Отрадное
11128,28737,столовая-доготовочная при школе 1414,нет,столовая,"город Москва, улица Советской Армии, дом 9",184, улица Советской Армии,район Марьина Роща
11131,28743,волна бизнеса,нет,буфет,"город Москва, 5-й проезд Марьиной Рощи, дом 15А, строение 1",98, 5-й проезд Марьиной Рощи,район Марьина Роща
11230,28300,з-д «компрессор»,нет,столовая,"город Москва, 2-я улица Энтузиастов, дом 5",110, 2-я улица Энтузиастов,район Перово
11671,182680,кафе,нет,кафе,"город Москва, Садовнический проезд, дом 6",20, Садовнический проезд,район Замоскворечье
11679,174168,столовая,нет,столовая,"город Москва, Малая Андроньевская улица, дом 20/8, строение 1-1А",86, Малая Андроньевская улица,Таганский район
11890,187742,хлеб насущный,да,кафе,"город Москва, улица Авиаконструктора Микояна, дом 12",30, улица Авиаконструктора Микояна,Хорошёвский район
11915,182311,папа джонс,да,кафе,"город Москва, Северодвинская улица, дом 20",20, Северодвинская улица,район Северное Медведково
11943,172930,домино'с пицца,да,предприятие быстрого обслуживания,"город Москва, 4-й Кожевнический переулок, дом 4",16, 4-й Кожевнический переулок,Даниловский район
12016,183526,кафе при азс лукойл,да,кафе,"город Москва, Малая Тульская улица, дом 57",17, Малая Тульская улица,Донской район
12154,192763,кафе «фейна»,нет,кафе,"город Москва, Мерзляковский переулок, дом 15",15, Мерзляковский переулок,Пресненский район
12159,190918,кафе «кафейня»,нет,кафе,"город Москва, Электрический переулок, дом 8, строение 2",20, Электрический переулок,Пресненский район
12182,192097,ветерок,нет,кафе,"город Москва, улица Старые Кузьминки, дом 10",40, улица Старые Кузьминки,район Кузьминки
12210,26414,ресторан «архитектор»,нет,кафе,"город Москва, Гранатный переулок, дом 7, строение 1",100, Гранатный переулок,Пресненский район
12275,194986,plan b,нет,закусочная,"город Москва, улица Атарбекова, дом 4А",8, улица Атарбекова,район Преображенское
12299,201930,пиво бар,нет,бар,"город Москва, проезд Донелайтиса, дом 30",0, проезд Донелайтиса,район Южное Тушино
12345,198917,грузинская пекарня,нет,магазин (отдел кулинарии),"город Москва, улица Маршала Мерецкова, дом 4",2, улица Маршала Мерецкова,район Щукино
12363,197775,зеленый змий,нет,буфет,"город Москва, 2-я Прядильная улица, дом 4",4, 2-я Прядильная улица,район Измайлово
12465,201978,сушиguru,нет,кафе,"город Москва, Челюскинская улица, дом 13",6, Челюскинская улица,Лосиноостровский район
12476,200619,бон кафе,нет,магазин (отдел кулинарии),"город Москва, улица Захарьинские Дворики, дом 1, корпус 1",0, улица Захарьинские Дворики,район Южное Бутово
12490,201200,гюмри,нет,кафе,"город Москва, Базовая улица, дом 2, корпус 1",60, Базовая улица,район Внуково
12492,203587,ivas lounge,нет,бар,"город Москва, Симферопольский проезд, дом 18",20, Симферопольский проезд,Нагорный район
12538,193116,ресторан «bbcafe»,нет,ресторан,"город Москва, Скатертный переулок, дом 13",75, Скатертный переулок,Пресненский район
12600,27567,столовая,нет,столовая,"город Москва, 3-й Лихачёвский переулок, дом 2А",190, 3-й Лихачёвский переулок,Головинский район
12700,194758,бильярдный клуб «дуплет»,нет,кафе,"город Москва, улица Кухмистерова, дом 20, корпус 2",40, улица Кухмистерова,район Печатники
12730,198119,лесной уют,нет,кафе,"город Москва, Народный проспект, дом 17, строение 24",30, Народный проспект,Не определен
12845,200126,дядя ваня,нет,кафе,"город Москва, проспект 40 лет Октября, дом 7, строение 2",48, проспект 40 лет Октября,район Люблино
12907,195686,стильавто,нет,кафе,"город Москва, улица Айвазовского, владение 7, строение 1",33, улица Айвазовского,район Ясенево
12918,195570,кунак,нет,кафе,"город Москва, Тарусская улица, дом 10",50, Тарусская улица,район Ясенево
12962,201719,самарканд,нет,кафе,"город Москва, Производственная улица, дом 1, корпус 1, строение 1",15, Производственная улица,район Солнцево
12982,200506,вкус востока,нет,кафе,"город Москва, улица Максимова, дом 18",40, улица Максимова,район Щукино
12988,201607,легенда самарканда,нет,кафе,"город Москва, Парусный проезд, дом 5, строение 1",48, Парусный проезд,район Южное Тушино
13012,199505,кофе и ко,нет,ресторан,"город Москва, Мишина улица, дом 35",8, Мишина улица,Савёловский район
13037,193142,бургеры,нет,кафе,"город Москва, Ижорский проезд, дом 17",16, Ижорский проезд,Дмитровский район
13108,200373,кафе при азс нефтьмагистраль,нет,кафе,"город Москва, Канатчиковский проезд, владение 5",6, Канатчиковский проезд,Донской район
13112,197252,кафе,нет,кафе,"город Москва, 1-й Кожевнический переулок, дом 6, строение 1",85, 1-й Кожевнический переулок,Даниловский район
13273,203786,столовая гбоу школа № 1387,нет,столовая,"город Москва, Машкинское шоссе, дом 7",192, Машкинское шоссе,район Куркино
13297,201340,амстердам чипс компани,нет,кафе,"город Москва, Тестовская улица, дом 1",16, Тестовская улица,Пресненский район
13377,200852,чешская пивная пилзнер,да,ресторан,"город Москва, Малый Путинковский переулок, дом 1/2, строение 1",80, Малый Путинковский переулок,Тверской район
13546,220355,пекарня папан,нет,кафе,"город Москва, 2-я Квесисская улица, дом 23",20, 2-я Квесисская улица,Савёловский район
13576,214899,чайхона vizir,нет,кафе,"город Москва, 2-я улица Марьиной Рощи, дом 22",45, 2-я улица Марьиной Рощи,район Марьина Роща
13594,207407,жингялов хац гирос бургер,нет,кафе,"город Москва, 2-й Новоподмосковный переулок, дом 8",6, 2-й Новоподмосковный переулок,Войковский район
13618,209546,kaufman кафе,нет,кафе,"город Москва, Посланников переулок, дом 9, строение 5",30, Посланников переулок,Басманный район
13627,206740,кулинариум,нет,магазин (отдел кулинарии),"город Москва, Рижский проезд, дом 7",0, Рижский проезд,Алексеевский район
13664,223192,кафе «скалка»,нет,кафе,"город Москва, 2-я Филёвская улица, дом 13",18, 2-я Филёвская улица,район Филёвский Парк
13747,213415,тандыр,нет,магазин (отдел кулинарии),"город Москва, улица Льва Яшина, дом 5, корпус 1",0, улица Льва Яшина,район Некрасовка
13775,149462,корнер,нет,кафе,"город Москва, Композиторская улица, дом 17",25, Композиторская улица,район Арбат
13852,223395,кафе-пекарня арчибальд,нет,кафе,"город Москва, Яхромская улица, дом 3",16, Яхромская улица,Дмитровский район
13861,213352,lao lee,нет,кафе,"город Москва, Миусская площадь, дом 9, строение 8",149, Миусская площадь,Тверской район
13866,211492,наливки,нет,кафе,"город Москва, 1-й Спасоналивковский переулок, дом 8, строение 2",14, 1-й Спасоналивковский переулок,район Якиманка
13902,210161,cedro,нет,ресторан,"город Москва, 4-й Вятский переулок, дом 10",60, 4-й Вятский переулок,Савёловский район
13903,214005,добрые люди,нет,кафе,"город Москва, Софийская набережная, дом 30, строение 1",4, Софийская набережная,Не определен
13918,205867,крафт 1.8,нет,кафе,"город Москва, Винницкая улица, дом 1",30, Винницкая улица,район Раменки
13939,222361,шаурма,нет,закусочная,"город Москва, проезд Якушкина, дом 7",0, проезд Якушкина,район Отрадное
13955,214778,кафе «багратион»,нет,кафе,"город Москва, Сеченовский переулок, дом 7А",38, Сеченовский переулок,район Хамовники
14060,207516,кафе-пекарня,нет,закусочная,"город Москва, Староникольская улица, дом 14А",10, Староникольская улица,район Южное Бутово
14114,213535,шаверма,нет,предприятие быстрого обслуживания,"город Москва, 1-й Силикатный проезд, дом 13",0, 1-й Силикатный проезд,район Хорошёво-Мнёвники
14227,208805,кафе,нет,кафе,"город Москва, 3-й Угрешский проезд, дом 8, строение 2",15, 3-й Угрешский проезд,район Печатники
14440,211368,пацио пицца,нет,кафе,"город Москва, улица Линии Октябрьской Железной Дороги, дом 2, строение 2",20, улица Линии Октябрьской Железной Дороги,Тимирязевский район
14704,214324,кадаши ( закрытый),нет,ресторан,"город Москва, 2-й Кадашёвский переулок, дом 16, строение 1",15, 2-й Кадашёвский переулок,район Якиманка
